Date,Total
2015/9/18,224
2015/9/19,170
2015/9/20,146
2015/9/21,202
2015/9/22,176
2015/9/23,190
2015/9/24,192
2015/9/25,195
2015/9/26,175
2015/9/27,137
2015/9/28,193
2015/9/29,225
2015/9/30,209
2015/10/1,225
2015/10/2,243
2015/10/3,203
2015/10/4,138
2015/10/5,183
2015/10/6,204
2015/10/7,155
2015/10/8,165
2015/10/9,243
2015/10/10,181
2015/10/11,136
2015/10/12,155
2015/10/13,196
2015/10/14,165
2015/10/15,165
2015/10/16,229
2015/10/17,131
2015/10/18,114
2015/10/19,145
2015/10/20,145
2015/10/21,129
2015/10/22,184
2015/10/23,175
2015/10/24,129
2015/10/25,136
2015/10/26,147
2015/10/27,181
2015/10/28,164
2015/10/29,119
2015/10/30,205
2015/10/31,177
2015/11/1,144
2015/11/2,187
2015/11/3,189
2015/11/4,203
2015/11/5,227
2015/11/6,244
2015/11/7,172
2015/11/8,158
2015/11/9,156
2015/11/10,209
2015/11/11,128
2015/11/12,175
2015/11/13,180
2015/11/14,134
2015/11/15,110
2015/11/16,149
2015/11/17,183
2015/11/18,173
2015/11/19,186
2015/11/20,243
2015/11/21,138
2015/11/22,110
2015/11/23,164
2015/11/24,172
2015/11/25,183
2015/11/26,180
2015/11/27,209
2015/11/28,168
2015/11/29,95
2015/11/30,176
2015/12/1,187
2015/12/2,179
2015/12/3,183
2015/12/4,229
2015/12/5,166
2015/12/6,150
2015/12/7,182
2015/12/8,213
2015/12/9,219
2015/12/10,172
2015/12/11,215
2015/12/12,147
2015/12/13,129
2015/12/14,159
2015/12/15,210
2015/12/16,192
2015/12/17,225
2015/12/18,215
2015/12/19,147
2015/12/20,118
2015/12/21,159
2015/12/22,147
2015/12/23,167
2015/12/24,124
2015/12/25,80
2015/12/26,106
2015/12/27,115
2015/12/28,127
2015/12/29,127
2015/12/30,119
2015/12/31,108
2016/1/1,121
2016/1/2,129
2016/1/3,113
2016/1/4,157
2016/1/5,167
2016/1/6,172
2016/1/7,190
2016/1/8,201
2016/1/9,152
2016/1/10,126
2016/1/11,153
2016/1/12,180
2016/1/13,166
2016/1/14,213
2016/1/15,211
2016/1/16,152
2016/1/17,81
2016/1/18,128
2016/1/19,124
2016/1/20,152
2016/1/21,176
2016/1/22,194
2016/1/23,141
2016/1/24,116
2016/1/25,144
2016/1/26,136
2016/1/27,156
2016/1/28,185
2016/1/29,154
2016/1/30,145
2016/1/31,163
2016/2/1,152
2016/2/2,148
2016/2/3,187
2016/2/4,150
2016/2/5,172
2016/2/6,149
2016/2/7,110
2016/2/8,144
2016/2/9,170
2016/2/10,163
2016/2/11,150
2016/2/12,174
2016/2/13,163
2016/2/14,120
2016/2/15,131
2016/2/16,139
2016/2/17,121
2016/2/18,122
2016/2/19,168
2016/2/20,119
2016/2/21,99
2016/2/22,126
2016/2/23,137
2016/2/24,118
2016/2/25,134
2016/2/26,162
2016/2/27,126
2016/2/28,102
2016/2/29,139
2016/3/1,173
2016/3/2,157
2016/3/3,150
2016/3/4,186
2016/3/5,158
2016/3/6,119
2016/3/7,144
2016/3/8,172
2016/3/9,146
2016/3/10,129
2016/3/11,187
2016/3/12,159
2016/3/13,118
2016/3/14,138
2016/3/15,157
2016/3/16,153
2016/3/17,164
2016/3/18,178
2016/3/19,137
2016/3/20,110
2016/3/21,104
2016/3/22,146
2016/3/23,144
2016/3/24,144
2016/3/25,174
2016/3/26,137
2016/3/27,133
2016/3/28,73
2016/3/29,160
2016/3/30,182
2016/3/31,165
